iter	Logloss
0	0.6454379272
1	0.5938341904
2	0.5650001907
3	0.5215219879
4	0.4869461823
5	0.4581595612
6	0.4403919983
7	0.4129431152
8	0.3956036758
9	0.3846443939
10	0.3705671692
11	0.3586044312
12	0.3402601242
13	0.3320005798
14	0.3180232239
15	0.311501503
16	0.3053017616
17	0.2977190018
18	0.2887903595
19	0.2832299805
20	0.2781927109
21	0.268770752
22	0.2662594604
23	0.2607014465
24	0.256232605
25	0.2532111359
26	0.2490497971
27	0.2432857132
28	0.2392444038
29	0.2313584137
30	0.2272158051
31	0.2242628479
32	0.219272995
33	0.2129851341
34	0.2109776497
35	0.2091332245
36	0.2075507736
37	0.2048899078
38	0.2017659569
39	0.1991938019
40	0.1977515793
41	0.1956266785
42	0.1921342659
43	0.1886743546
44	0.186941185
45	0.1848993683
46	0.1824586105
47	0.1808067131
48	0.1795819092
49	0.176953125
50	0.1745619583
51	0.1733772659
52	0.1712710381
53	0.1696256256
54	0.1684876442
55	0.1658473778
56	0.1638477325
57	0.1625033951
58	0.1611151695
59	0.1599372005
60	0.1586436272
61	0.1549079704
62	0.1539286041
63	0.152163353
64	0.1502055836
65	0.14893713
66	0.1468905067
67	0.1448799419
68	0.1434240627
69	0.1424200058
70	0.1410829353
71	0.1396379566
72	0.1382068825
73	0.1373658276
74	0.1361804104
75	0.135649395
76	0.1345190716
77	0.1325923729
78	0.1309864426
79	0.1297546387
80	0.1284292793
81	0.1272230816
82	0.1263102818
83	0.1252397823
84	0.1234085369
85	0.1215856171
86	0.1197945881
87	0.1188504601
88	0.1177606297
89	0.1163462353
90	0.1146174717
91	0.1124676132
92	0.1118727779
93	0.1110830116
94	0.1102735901
95	0.109440546
96	0.1089058495
97	0.1083751869
98	0.1069900417
99	0.1062890053
100	0.1052873421
101	0.1047766018
102	0.1040488815
103	0.1033562183
104	0.1019868279
105	0.101340189
106	0.09998779297
107	0.09921642303
108	0.09742007256
109	0.09644836426
110	0.09560853958
111	0.09480899811
112	0.09404058456
113	0.09273187637
114	0.09186340332
115	0.09002639771
116	0.0888918972
117	0.08824878693
118	0.08739035606
119	0.08652751923
120	0.0855406189
121	0.08498295784
122	0.08477831841
123	0.08368354797
124	0.08305988312
125	0.08238395691
126	0.08146641731
127	0.08099868774
128	0.0804054451
129	0.07987696171
130	0.07946368217
131	0.07839304447
132	0.07776591778
133	0.07720490456
134	0.07673311234
135	0.07592254162
136	0.07550331116
137	0.07480354309
138	0.07417627335
139	0.07345668793
140	0.07245923996
141	0.07185259819
142	0.07175139427
143	0.07123138905
144	0.07046066761
145	0.06988494873
146	0.0689887619
147	0.06845500946
148	0.0672541666
149	0.06697999954
150	0.06619855881
151	0.06522882462
152	0.06456361294
153	0.06397200584
154	0.06345525742
155	0.06273367882
156	0.06201742172
157	0.06140184879
158	0.0611415863
159	0.06084331512
160	0.06026481628
161	0.05965163231
162	0.0592137146
163	0.0582953167
164	0.05821156025
165	0.05767978668
166	0.05698596001
167	0.05669179916
168	0.05618305206
169	0.05552605629
170	0.05519697189
171	0.05472084522
172	0.05392912865
173	0.05354438782
174	0.05301458836
175	0.05264550209
176	0.05205730915
177	0.05136337757
178	0.05099187851
179	0.05045158386
180	0.0504191494
181	0.05001598835
182	0.0496184063
183	0.04924988747
184	0.04857871056
185	0.04811450005
186	0.04775969505
187	0.04712600708
188	0.0468589592
189	0.04640975952
190	0.04587527275
191	0.04552192688
192	0.0452613306
193	0.04467359543
194	0.04463852406
195	0.04421797276
196	0.04389813423
197	0.0434665966
198	0.04301877022
199	0.0423267746
200	0.04193427563
201	0.04166536331
202	0.04129660606
203	0.04074854851
